Number,Name,Description,Icon,Color Hex,Color RGB,Emoji
1,Elderly Care,Assistance for elderly community members with daily tasks,fa-hands-helping,#FF6B6B,"rgb(255, 107, 107)",ğŸ‘µ
2,Grocery Shopping,Help with grocery shopping and delivery,fa-shopping-cart,#4ECDC4,"rgb(78, 205, 196)",ğŸ›’
3,Transportation,Rides to appointments stores or other destinations,fa-car,#45B7D1,"rgb(69, 183, 209)",ğŸš—
4,Technology Help,Computer phone and internet assistance,fa-laptop,#96CEB4,"rgb(150, 206, 180)",ğŸ’»
5,Moving & Lifting,Help with moving furniture or heavy items,fa-truck,#FFEAA7,"rgb(255, 234, 167)",ğŸ“¦
6,Home Repair,Basic home maintenance and repair tasks,fa-tools,#DDA0DD,"rgb(221, 160, 221)",ğŸ”§
7,Yard Work,Gardening lawn care and outdoor maintenance,fa-leaf,#98D8C8,"rgb(152, 216, 200)",ğŸŒ»
8,Pet Care,Pet sitting walking and basic care,fa-paw,#F7DC6F,"rgb(247, 220, 111)",ğŸ•
9,Childcare,Babysitting and child supervision,fa-baby,#85C1E2,"rgb(133, 193, 226)",ğŸ‘¶
10,Education & Tutoring,Teaching tutoring and homework help,fa-graduation-cap,#BB8FCE,"rgb(187, 143, 206)",ğŸ“š
11,Medical Assistance,Non-emergency medical help and accompaniment,fa-heartbeat,#EC7063,"rgb(236, 112, 99)",ğŸ¥
12,Emergency Help,Urgent assistance needed immediately,fa-exclamation-triangle,#E74C3C,"rgb(231, 76, 60)",ğŸš¨
13,Language Translation,Help with translation and interpretation,fa-language,#5DADE2,"rgb(93, 173, 226)",ğŸ—£ï¸
14,Legal Assistance,Basic legal document help and guidance,fa-balance-scale,#76448A,"rgb(118, 68, 138)",âš–ï¸
15,Social Companionship,Companionship for isolated or lonely individuals,fa-users,#F39C12,"rgb(243, 156, 18)",ğŸ‘¥
16,Other,Other types of community assistance,fa-ellipsis-h,#95A5A6,"rgb(149, 165, 166)",â“